Date,Open,High,Low,Close,Volume
2023-12-01,67.91,68.64,67.365,68.48,7094672.0
2023-11-30,67.1,68.0472,66.71,67.95,12331263.0
2023-11-29,68.74,68.91,66.85,66.9,9856309.0
2023-11-28,68.86,69.53,68.6,69.32,4291910.0
2023-11-27,69.37,69.615,68.62,68.74,6334283.0
2023-11-24,68.75,69.485,68.75,69.42,2215900.0
2023-11-22,68.34,69.23,68.34,69.14,4421860.0
2023-11-21,68.44,68.55,67.69,68.08,4829444.0
2023-11-20,68.4,68.79,67.79,68.26,6420233.0
2023-11-17,68.92,69.01,68.08,68.81,6447995.0
2023-11-16,69.31,69.41,67.52,68.25,8517384.0
2023-11-15,68.7,69.38,68.51,69.13,6782553.0
2023-11-14,68.06,69.685,68.06,68.5,7270731.0
2023-11-13,67.56,67.94,67.04,67.8,4230919.0
2023-11-10,66.8,67.72,66.12,67.68,5753697.0
2023-11-09,68.71,68.7637,66.67,66.74,6625674.0
2023-11-08,70.22,70.7085,68.75,68.75,6124009.0
2023-11-07,70.96,71.24,70.185,70.25,5719691.0
2023-11-06,70.3,71.34,70.29,71.08,5802256.0
2023-11-03,70.0,70.91,69.9,70.25,8030174.0
2023-11-02,68.46,70.29,68.05,69.64,9131645.0
2023-11-01,65.75,69.29,64.41,68.73,17541540.0
2023-10-31,68.38,69.15,68.19,69.01,9085201.0
2023-10-30,66.58,68.165,66.54,68.01,7905410.0
2023-10-27,67.84,67.9,66.01,66.29,6929879.0
2023-10-26,68.0,68.87,67.571,67.98,6112310.0
2023-10-25,68.61,69.03,68.0,68.53,8302714.0
2023-10-24,69.18,69.85,68.6125,68.97,4958436.0
2023-10-23,68.75,69.52,68.56,68.99,6309953.0
2023-10-20,71.12,71.18,69.02,69.05,7618611.0
2023-10-19,70.19,71.61,70.09,70.61,6453897.0
2023-10-18,72.29,72.4,70.84,71.09,8486149.0
2023-10-17,71.18,72.84,71.14,72.01,5953366.0
2023-10-16,72.75,73.34,71.0201,71.49,8149820.0
2023-10-13,71.39,72.75,71.19,71.54,6614994.0
2023-10-12,72.0,72.2,70.655,70.92,6656358.0
2023-10-11,72.41,72.85,71.26,71.73,4775959.0
2023-10-10,71.15,72.0293,70.87,71.73,6532117.0
2023-10-09,69.8,71.2875,69.78,71.25,5634062.0
2023-10-06,69.54,70.5172,69.14,69.9,4278921.0
2023-10-05,68.56,69.81,68.56,69.75,4498936.0
2023-10-04,69.2,69.42,68.09,68.98,6017090.0
2023-10-03,69.26,69.8,68.98,69.25,4392284.0
2023-10-02,69.54,69.76,68.53,69.69,5342250.0
2023-09-29,70.07,70.45,69.59,69.82,5365825.0
